DistrictId,District,BlockId,Block,ClusterId,Cluster,SchoolId,School,SchoolCategory,SchoolManagement,TotalSchoolStudent,Class1_Boys,Class1_Girls,Class1_Transgender,Class1_Total,AsonDate
2404,MAHESANA,240402,KADI,2404020005,KADI KUMAR SHALA - 3,24040211001,RANGPURDA PRIMARY SCHOOL,2,3,15,1,0,0,1,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020005,KADI KUMAR SHALA - 3,24040205813,RASIKLAL NATHALAL SHAH (RANGWALA) PRIMARY SCHOOL AND UPPER PRIMARY ,2,5,65,4,9,0,13,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020002,DARAN,24040211101,ROZAPURI PRIMARY SCHOOL,1,3,7,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020004,KADI KUMAR SHALA - 2,24040211201,SADRA PRIMARY SCHOOL,2,3,29,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020008,KUNDAL,24040211301,SARSAV PRIMARY SCHOOL,2,3,38,4,2,0,6,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020002,DARAN,24040211401,SEDARADI PRIMARY SCHOOL,2,3,8,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020014,VISATPURA,24040211501,SEDARANA PRIMARY SCHOOL,2,3,23,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020013,THOL,24040211601,SEDFA PRIMARY SCHOOL,1,3,2,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020004,KADI KUMAR SHALA - 2,24040206204,SHAH G.P. PRIMARY SCHOOL,1,5,63,23,28,0,51,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020005,KADI KUMAR SHALA - 3,24044100869,SHANTI ANGEL ENGLISH MEDIUM SCHOOL,1,5,18,7,11,0,18,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020007,KARANNAGAR,24040207107,Shanti International School,6,5,86,24,28,0,52,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020003,KADI KANYA SHALA - 4,24040209913,SHETH SHREE KARSHANBHAI JETHIDAS PATEL SANSKAR VIDHYALAY,3,5,112,3,13,0,16,8/19/2026 12:26
